Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
Asynchronous	1000	30	0	100	1.1826257962000001E7	1.1689636028333334E7	4.262246102633333E7
Asynchronous	1000	30	20000000	100	1.2674769057E7	1.2525924440333333E7	4.8273732107E7
Asynchronous	1000	30	40000000	100	1.2018859557E7	1.1851556938333333E7	5.7758594670666665E7
Asynchronous	1000	30	60000000	100	8855716.438666666	8755571.745	7.484601661066666E7
Asynchronous	1000	30	80000000	100	7936330.868333334	7845173.929666666	9.2773323035E7
Asynchronous	1000	30	100000000	100	7686803.719333333	7603929.757666666	1.1249126398766667E8
Asynchronous	1000	30	120000000	100	7944414.403666666	7851195.124666667	1.3249333033299999E8
Asynchronous	1000	30	140000000	100	7181790.994	7097175.930000001	1.5156820375066668E8
Asynchronous	1000	30	160000000	100	7771401.571666667	7679501.165333333	1.7238017657633334E8
Asynchronous	1000	30	180000000	100	7176681.786333334	7092676.649333333	1.91609527152E8
Asynchronous	1000	30	200000000	100	7782188.364999999	7694387.086666667	2.1264094875266665E8
