Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
BlockingPool	0	100	50000000	100	93814.15220000001	994.2133	1.4571731396E8
BlockingPool	0	200	50000000	100	142387.9504	1335.71705	2.0246315789955002E8
BlockingPool	0	300	50000000	100	106423.69873333334	1040.9801333333332	3.005058765074667E8
BlockingPool	0	400	50000000	100	135632.5425	914.2143249999999	4.2312259235845E8
BlockingPool	0	500	50000000	100	112456.08914	1472.3381200000001	5.2669897732322E8
