Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
ThreadPerClient	1000	30	0	100	3.090902267133333E7	2.8493310858E7	4.189005381266667E7
ThreadPerClient	1000	30	20000000	100	2.0989211919000003E7	1.9541168930999998E7	5.0813161508E7
ThreadPerClient	1000	30	40000000	100	1.5737868019666668E7	1.5088168077333333E7	6.3432700172E7
ThreadPerClient	1000	30	60000000	100	9396065.232333334	9281469.568333333	7.4195018604E7
ThreadPerClient	1000	30	80000000	100	8625416.177333333	8529490.671	9.462163794933333E7
ThreadPerClient	1000	30	100000000	100	7784614.073	7709820.043666666	1.1225170952700001E8
ThreadPerClient	1000	30	120000000	100	7755137.918666666	7681359.501	1.3198986060533333E8
ThreadPerClient	1000	30	140000000	100	8062008.391	7982906.316	1.52630548384E8
ThreadPerClient	1000	30	160000000	100	8179964.505666668	8093729.376666667	1.7342841802633336E8
ThreadPerClient	1000	30	180000000	100	8263729.6466666665	8184371.800333333	1.9282555499166667E8
ThreadPerClient	1000	30	200000000	100	8295284.790333333	8215174.485	2.1328900098599997E8
