Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
BlockingPool	20	10	2000000	1000	264443.2386	11903.442500000001	2883877.0048
BlockingPool	20	20	2000000	1000	236225.73700000002	15152.39725	2774046.9538499997
BlockingPool	20	30	2000000	1000	275239.30943333334	23220.211400000004	2739202.8721999996
BlockingPool	20	40	2000000	1000	228559.90687500002	18956.39015	2644693.959375
BlockingPool	20	50	2000000	1000	263428.77129999996	23988.77256	2692753.9006
BlockingPool	20	60	2000000	1000	500882.61085	32436.674300000002	3184555.8471500003
BlockingPool	20	70	2000000	1000	993390.8676428571	42030.78742857143	4015778.6710285717
BlockingPool	20	80	2000000	1000	1483234.5781125	52604.672887500004	4753337.0289125005
BlockingPool	20	90	2000000	1000	1961014.6273111112	66308.1065888889	5206487.701322222
BlockingPool	20	100	2000000	1000	2506276.46466	68995.1866	5778254.85909
