Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
ThreadPerClient	0	100	50000000	100	15019.5933	780.0905	1.249895800161E8
ThreadPerClient	0	200	50000000	100	13666.51865	876.0460499999999	1.9398185625974998E8
ThreadPerClient	0	300	50000000	100	15647.463300000001	1541.9014	3.001975688991E8
ThreadPerClient	0	400	50000000	100	15341.497975	1933.2757250000002	3.8728992565975E8
ThreadPerClient	0	500	50000000	100	13128.67892	592.52724	4.9884267147832E8
