Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
BlockingPool	1000	30	0	100	4.1862468884333335E7	1.1322530684333332E7	4.226873491966667E7
BlockingPool	1000	30	20000000	100	2.4589976128333334E7	1.2462088014666667E7	4.686655669466666E7
BlockingPool	1000	30	40000000	100	1.2592812225666666E7	1.1145489804E7	5.517340597933333E7
BlockingPool	1000	30	60000000	100	9644370.595999999	8527188.781333333	7.289935094466667E7
BlockingPool	1000	30	80000000	100	7702390.6373333335	7334748.348333333	9.1373653684E7
BlockingPool	1000	30	100000000	100	7238979.393333334	6947426.443666667	1.1097000650233334E8
BlockingPool	1000	30	120000000	100	7653018.942333334	7258951.183333334	1.31421205597E8
BlockingPool	1000	30	140000000	100	9719199.530333335	8653471.441333333	1.53679530363E8
BlockingPool	1000	30	160000000	100	8124951.411666666	7691179.627666667	1.7182133092299998E8
BlockingPool	1000	30	180000000	100	8252486.420333334	7808227.113	1.919804679933333E8
BlockingPool	1000	30	200000000	100	8783770.788999999	8230299.179333333	2.1273270869766667E8
