Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
BlockingPool	20	30	0	1000	118290.78686666668	13295.784933333334	734616.7042666667
BlockingPool	40	30	0	1000	187555.23563333333	43456.59636666667	743297.9945666668
BlockingPool	60	30	0	1000	320840.0525333333	92387.61573333334	773119.7471333334
BlockingPool	80	30	0	1000	515843.81506666663	123392.42476666666	831418.7313333334
BlockingPool	100	30	0	1000	700643.2352000001	211262.04846666666	1020519.5996666666
BlockingPool	120	30	0	1000	1047410.1779333333	311893.36760000006	1344984.7170666666
BlockingPool	140	30	0	1000	1238258.7655333332	358081.9414	1456649.3746666668
BlockingPool	160	30	0	1000	1862119.0846000002	499852.9198666667	2001988.516
BlockingPool	180	30	0	1000	2087393.2721000002	558592.4455333333	2247247.1484000003
BlockingPool	200	30	0	1000	2358942.7005666667	631167.4678666666	2499544.2136
BlockingPool	220	30	0	1000	2708127.516066666	729358.8742	2844295.8126999997
BlockingPool	240	30	0	1000	3235901.206233333	862768.8375666667	3406770.5201666667
BlockingPool	260	30	0	1000	3473231.9527	934206.0587333334	3631938.9562
BlockingPool	280	30	0	1000	3835152.426	1028509.3565666667	3977809.7695
BlockingPool	300	30	0	1000	4226908.135233333	1138894.7195666665	4419626.566333333
