Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
Asynchronous	0	100	50000000	100	88080.2972	639.6627	1.018266363571E8
Asynchronous	0	200	50000000	100	102286.71755	608.95255	1.209151019183E8
Asynchronous	0	300	50000000	100	87812.21506666667	773.5532333333333	2.1100016721196666E8
Asynchronous	0	400	50000000	100	82540.382175	597.2995	2.7800216013385E8
Asynchronous	0	500	50000000	100	142878.2467	641.61862	3.5816542144494003E8
