Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
Asynchronous	20	30	0	1000	21179.2975	8140.976	493060.5870333334
Asynchronous	40	30	0	1000	40056.07803333333	23671.46946666667	526978.5019666667
Asynchronous	60	30	0	1000	71245.46606666666	48850.724533333334	581415.5316666666
Asynchronous	80	30	0	1000	126335.2157	94969.38363333333	707035.1023666667
Asynchronous	100	30	0	1000	176932.10369999998	146846.2427	813053.0404333333
Asynchronous	120	30	0	1000	217120.62773333336	181940.18976666668	942452.6153666667
Asynchronous	140	30	0	1000	288353.3257333333	247227.5485	1197980.9683666665
Asynchronous	160	30	0	1000	341438.6345	297707.55090000003	1402118.2487333333
Asynchronous	180	30	0	1000	398637.03616666666	354786.9007333333	1575025.1751666667
Asynchronous	200	30	0	1000	518803.0352666667	468839.7561333334	2038251.4177333333
Asynchronous	220	30	0	1000	625441.0297666666	569988.6356666667	2442372.5088333334
Asynchronous	240	30	0	1000	692642.7106999999	635239.6842666666	2694982.4995
Asynchronous	260	30	0	1000	833104.7277	769076.2802333334	3268122.8504
Asynchronous	280	30	0	1000	968504.7491	897833.2645333334	3713148.6261
Asynchronous	300	30	0	1000	1019081.9189333334	953853.7192666667	3883207.2951666666
