Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
NonBlockingPool	20	10	2000000	1000	193349.9713	7654.595200000001	2828478.861
NonBlockingPool	20	20	2000000	1000	217745.09845	7271.532249999999	2821403.96465
NonBlockingPool	20	30	2000000	1000	268886.5143	8085.183366666666	2865630.3548000003
NonBlockingPool	20	40	2000000	1000	258918.65214999998	8373.434625	2842876.6311500003
NonBlockingPool	20	50	2000000	1000	292166.61314	7862.82674	2856768.3743600002
NonBlockingPool	20	60	2000000	1000	349638.0088333333	8186.582016666666	3020850.0474333335
NonBlockingPool	20	70	2000000	1000	425208.58587142854	9991.2291	3204868.8633000003
NonBlockingPool	20	80	2000000	1000	399767.2424625	8925.479775	3167879.62005
NonBlockingPool	20	90	2000000	1000	695115.8452222223	9776.644	3717700.441711111
NonBlockingPool	20	100	2000000	1000	823783.26668	10613.84482	4136067.33698
