Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
Asynchronous	20	10	2000000	1000	24452.0111	7380.804099999999	2616203.9738000003
Asynchronous	20	20	2000000	1000	35467.198749999996	10879.50325	2661460.1833
Asynchronous	20	30	2000000	1000	38376.77686666667	12263.818033333335	2676825.8710333332
Asynchronous	20	40	2000000	1000	36749.13575	11729.512375	2679713.426125
Asynchronous	20	50	2000000	1000	42662.53102	13354.93206	2675779.46528
Asynchronous	20	60	2000000	1000	45034.43463333334	14771.641133333333	2615787.5243333336
Asynchronous	20	70	2000000	1000	58779.86157142857	19553.065599999998	2858609.854857143
Asynchronous	20	80	2000000	1000	49242.6678625	15078.515212499999	3092880.5703875
Asynchronous	20	90	2000000	1000	68327.11208888888	22402.997855555557	3440052.369611111
Asynchronous	20	100	2000000	1000	58550.13123	18165.64515	3647606.08456
