Architecture	Array size	Clients number	Delay	Requests number	Server request duration	Processing request duration	Client request duration
NonBlockingPool	0	100	50000000	100	105204.3804	1192.0267	1.0308060135E8
NonBlockingPool	0	200	50000000	100	160006.47324999998	2101.90435	1.3731363260834998E8
NonBlockingPool	0	300	50000000	100	147490.22503333332	2341.4844	2.093540905569333E8
NonBlockingPool	0	400	50000000	100	164885.54755000002	1601.6958499999998	2.7868877273155E8
NonBlockingPool	0	500	50000000	100	116103.3595	2656.172	3.636447891948E8
